fieldid,tileid,seqn,obsid,dateobs,exposure,airmass,rmag,rerr,rnormsky,rtype,rcrowd,rchi2,rmpix,rcosmicrf,ramp,rxpix,rypix,ravesky,rfwhm,rtobs,rcut,bmag,berr,bnormsky,btype,bcrowd,bchi2,bmpix,bcosmicrf,bamp,bxpix,bypix,bavesky,bfwhm,btobs,bcut
1,3442,503,278,48823.6441,300.0,2.3711,-5.398,0.288,0.0,5.0,123.0,110.0,0.0,0.0,5.0,-99.0,-99.0,13812.0,7.825,2418,1,-5.73,0.232,-30.0,6.0,130.0,116.0,0.0,0.0,11.0,-99.0,-99.0,14905.0,7.577,2418,1
1,3442,503,280,48823.6537,300.0,2.2826,-5.955,0.15,-70.0,5.0,120.0,108.0,0.0,0.0,5.0,-99.0,-99.0,13306.0,7.397,2418,1,-5.743,0.205,37.0,6.0,129.0,116.0,0.0,0.0,11.0,-99.0,-99.0,14477.0,7.446,2418,1
1,3442,503,282,48823.6634,300.0,2.1976,-5.014,0.406,0.0,5.0,123.0,112.0,0.0,0.0,5.0,-99.0,-99.0,12926.0,7.91,2418,1,-5.494,0.289,-15.0,6.0,131.0,115.0,0.0,0.0,11.0,-99.0,-99.0,14302.0,7.71,2418,1
1,3442,503,310,48824.6249,300.0,2.5303,-5.359,0.111,-78.0,5.0,103.0,101.0,0.0,0.0,5.0,-99.0,-99.0,12022.0,4.394,2418,1,-4.949,0.184,23.0,6.0,111.0,113.0,0.0,0.0,11.0,-99.0,-99.0,11956.0,4.298,2418,1
1,3442,503,312,48824.6344,300.0,2.4344,-5.458,0.089,-48.0,1.0,100.0,104.0,0.0,0.0,5.0,-99.0,-99.0,11909.0,4.1,2418,1,-5.439,0.1,-35.0,2.0,106.0,106.0,0.0,0.0,11.0,-99.0,-99.0,12090.0,3.824,2418,1
1,3442,503,314,48824.6443,300.0,2.3414,-5.531,0.082,-68.0,1.0,98.0,95.0,0.0,0.0,5.0,-99.0,-99.0,11957.0,4.143,2418,1,-5.456,0.095,26.0,2.0,105.0,99.0,0.0,0.0,11.0,-99.0,-99.0,12006.0,3.918,2418,1
1,3442,503,341,48825.6498,300.0,2.2676,-5.541,0.074,-32.0,1.0,96.0,91.0,0.0,0.0,5.0,-99.0,-99.0,10042.0,4.126,2418,1,-5.367,0.095,34.0,2.0,107.0,96.0,0.0,0.0,11.0,-99.0,-99.0,8875.0,3.878,2418,1
1,3442,503,343,48825.6595,300.0,2.1823,-5.476,0.082,58.0,1.0,103.0,92.0,0.0,0.0,5.0,-99.0,-99.0,9752.0,4.381,2418,1,-5.483,0.089,75.0,2.0,110.0,87.0,0.0,0.0,11.0,-99.0,-99.0,8678.0,4.13,2418,1
1,3442,503,345,48825.6695,300.0,2.1019,-5.615,0.07,19.0,1.0,101.0,96.0,0.0,0.0,5.0,-99.0,-99.0,9540.0,4.331,2418,1,-5.334,0.101,79.0,2.0,111.0,83.0,0.0,0.0,11.0,-99.0,-99.0,8586.0,4.129,2418,1
1,3442,503,369,48826.6313,300.0,2.411,-5.32,0.149,-40.0,5.0,114.0,93.0,0.0,0.0,5.0,-99.0,-99.0,6813.0,6.061,2418,1,-5.224,0.193,39.0,6.0,126.0,83.0,0.0,0.0,11.0,-99.0,-99.0,5109.0,6.334,2418,1
1,3442,503,373,48826.658,300.0,2.1742,-5.379,0.122,0.0,5.0,112.0,86.0,0.0,0.0,5.0,-99.0,-99.0,7696.0,5.614,2418,1,-5.317,0.152,47.0,6.0,121.0,73.0,0.0,0.0,11.0,-99.0,-99.0,5989.0,5.837,2418,1
1,3442,503,406,48828.7526,300.0,1.562,-5.315,0.108,-21.0,5.0,107.0,78.0,0.0,0.0,5.0,-99.0,-99.0,6856.0,5.174,2418,1,-5.403,0.113,14.0,2.0,119.0,60.0,0.0,0.0,11.0,-99.0,-99.0,4980.0,5.135,2418,1
1,3442,503,420,48828.8234,300.0,1.3337,-5.437,0.099,-69.0,5.0,110.0,83.0,0.0,0.0,5.0,-99.0,-99.0,7433.0,5.276,2418,1,-5.262,0.124,0.0,6.0,118.0,62.0,0.0,0.0,11.0,-99.0,-99.0,4732.0,5.114,2418,1
1,3442,503,423,48829.623,300.0,2.4129,-5.686,0.053,-94.0,1.0,98.0,86.0,0.0,0.0,5.0,-99.0,-99.0,7311.0,3.688,2418,1,-5.581,0.07,-41.0,2.0,107.0,85.0,0.0,0.0,11.0,-99.0,-99.0,5427.0,3.731,2418,1
1,3442,503,443,48829.7514,300.0,1.5562,-5.528,0.173,-67.0,5.0,100.0,124.0,0.0,0.0,5.0,-99.0,-99.0,10189.0,3.825,2418,1,-5.628,0.14,89.0,2.0,112.0,109.0,0.0,0.0,11.0,-99.0,-99.0,8231.0,3.632,2418,1
1,3442,503,450,48829.8266,300.0,1.3232,-5.596,0.101,-85.0,5.0,112.0,104.0,0.0,0.0,5.0,-99.0,-99.0,10950.0,5.409,2418,1,-5.492,0.105,-9.0,6.0,116.0,73.0,0.0,0.0,11.0,-99.0,-99.0,5138.0,5.327,2418,1
1,3442,503,452,48831.6285,300.0,2.3099,-4.51,0.855,-108.0,5.0,129.0,101.0,0.0,0.0,5.0,-99.0,-99.0,6460.0,9.05,2418,1,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,-1.0,-99.0,-99.0,-99.0,-99.0,0,0
1,3442,503,472,48831.7314,300.0,1.6204,-5.701,0.098,-76.0,5.0,114.0,89.0,0.0,0.0,5.0,-99.0,-99.0,5453.0,6.02,2418,1,-5.53,0.131,4.0,6.0,123.0,76.0,0.0,0.0,11.0,-99.0,-99.0,4825.0,6.124,2418,1
1,3442,503,485,48831.8056,300.0,1.3596,-5.668,0.05,-11.0,1.0,99.0,69.0,0.0,0.0,5.0,-99.0,-99.0,4656.0,3.85,2418,1,-5.753,0.054,1.0,2.0,110.0,50.0,0.0,0.0,11.0,-99.0,-99.0,3997.0,3.674,2418,1
1,3442,503,487,48831.8282,300.0,1.3095,-5.761,0.081,-60.0,5.0,112.0,88.0,0.0,0.0,5.0,-99.0,-99.0,7857.0,5.496,2418,1,-5.633,0.1,26.0,2.0,119.0,73.0,0.0,0.0,11.0,-99.0,-99.0,5147.0,5.545,2418,1
1,3442,503,488,48832.6264,300.0,2.3036,-5.72,0.083,0.0,1.0,111.0,86.0,0.0,0.0,5.0,-99.0,-99.0,6136.0,5.584,2418,1,-5.606,0.11,58.0,2.0,120.0,81.0,0.0,0.0,11.0,-99.0,-99.0,4984.0,5.813,2418,1
1,3442,503,511,48832.8179,300.0,1.3242,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,-1.0,-99.0,-99.0,-99.0,-99.0,0,0,-5.299,0.136,-15.0,6.0,118.0,61.0,0.0,0.0,11.0,-99.0,-99.0,4152.0,5.614,2418,1
1,3442,503,515,48833.736,300.0,1.5756,-5.205,0.196,-56.0,5.0,119.0,88.0,0.0,0.0,5.0,-99.0,-99.0,5410.0,6.981,2418,1,-5.612,0.153,-38.0,6.0,127.0,71.0,0.0,0.0,11.0,-99.0,-99.0,4687.0,7.177,2418,1
