fieldid,tileid,seqn,obsid,dateobs,exposure,airmass,rmag,rerr,rnormsky,rtype,rcrowd,rchi2,rmpix,rcosmicrf,ramp,rxpix,rypix,ravesky,rfwhm,rtobs,rcut,bmag,berr,bnormsky,btype,bcrowd,bchi2,bmpix,bcosmicrf,bamp,bxpix,bypix,bavesky,bfwhm,btobs,bcut
1,3441,45,278,48823.6441,300.0,2.3711,-8.647,0.013,0.0,1.0,35.0,120.0,0.0,0.0,5.0,-99.0,-99.0,13680.0,7.657,2418,1,-8.601,0.015,1.0,1.0,47.0,142.0,0.0,0.0,11.0,-99.0,-99.0,14578.0,7.691,2418,1
1,3441,45,280,48823.6537,300.0,2.2826,-8.655,0.011,0.0,1.0,26.0,124.0,0.0,0.0,5.0,-99.0,-99.0,13074.0,7.483,2418,1,-8.613,0.013,0.0,1.0,43.0,131.0,0.0,0.0,11.0,-99.0,-99.0,14246.0,7.436,2418,1
1,3441,45,282,48823.6634,300.0,2.1976,-8.644,0.013,0.0,1.0,35.0,126.0,0.0,0.0,5.0,-99.0,-99.0,12862.0,7.739,2418,1,-8.565,0.015,14.0,1.0,45.0,126.0,0.0,0.0,11.0,-99.0,-99.0,13955.0,7.813,2418,1
1,3441,45,310,48824.6249,300.0,2.5303,-8.414,0.006,0.0,1.0,5.0,128.0,0.0,0.0,5.0,-99.0,-99.0,11846.0,4.376,2418,1,-8.204,0.007,0.0,1.0,15.0,142.0,0.0,0.0,11.0,-99.0,-99.0,11764.0,4.223,2418,1
1,3441,45,312,48824.6344,300.0,2.4344,-8.427,0.005,0.0,1.0,0.0,139.0,0.0,0.0,5.0,-99.0,-99.0,11783.0,4.061,2418,1,-8.223,0.006,0.0,1.0,9.0,136.0,0.0,0.0,11.0,-99.0,-99.0,11847.0,3.811,2418,1
1,3441,45,314,48824.6443,300.0,2.3414,-8.413,0.005,0.0,1.0,0.0,137.0,0.0,0.0,5.0,-99.0,-99.0,11805.0,4.1,2418,1,-8.224,0.006,0.0,1.0,0.0,132.0,0.0,0.0,11.0,-99.0,-99.0,11795.0,3.852,2418,1
1,3441,45,341,48825.6498,300.0,2.2676,-8.246,0.005,0.0,1.0,0.0,128.0,0.0,0.0,5.0,-99.0,-99.0,9961.0,4.072,2418,1,-8.002,0.006,0.0,1.0,0.0,137.0,0.0,0.0,11.0,-99.0,-99.0,8773.0,3.839,2418,1
1,3441,45,343,48825.6595,300.0,2.1823,-8.245,0.005,0.0,1.0,0.0,136.0,0.0,0.0,5.0,-99.0,-99.0,9642.0,4.356,2418,1,-8.003,0.006,4.0,1.0,16.0,129.0,0.0,0.0,11.0,-99.0,-99.0,8513.0,4.125,2418,1
1,3441,45,345,48825.6695,300.0,2.1019,-8.253,0.005,0.0,1.0,0.0,127.0,0.0,0.0,5.0,-99.0,-99.0,9431.0,4.302,2418,1,-8.031,0.006,0.0,1.0,17.0,132.0,0.0,0.0,11.0,-99.0,-99.0,8456.0,4.079,2418,1
1,3441,45,369,48826.6313,300.0,2.411,-8.676,0.006,0.0,1.0,22.0,124.0,0.0,0.0,5.0,-99.0,-99.0,6763.0,6.019,2418,1,-8.627,0.006,0.0,1.0,38.0,133.0,0.0,0.0,11.0,-99.0,-99.0,5085.0,6.24,2418,1
