fieldid,tileid,seqn,obsid,dateobs,exposure,airmass,rmag,rerr,rnormsky,rtype,rcrowd,rchi2,rmpix,rcosmicrf,ramp,rxpix,rypix,ravesky,rfwhm,rtobs,rcut,bmag,berr,bnormsky,btype,bcrowd,bchi2,bmpix,bcosmicrf,bamp,bxpix,bypix,bavesky,bfwhm,btobs,bcut
1,3442,1107,278,48823.6441,300.0,2.3711,-4.994,0.397,-62.0,5.0,134.0,109.0,0.0,0.0,5.0,-99.0,-99.0,13680.0,7.657,2418,1,-4.638,0.564,-81.0,5.0,127.0,127.0,0.0,0.0,11.0,-99.0,-99.0,14578.0,7.691,2418,1
1,3442,1107,280,48823.6537,300.0,2.2826,-4.869,0.396,-69.0,5.0,133.0,101.0,0.0,0.0,5.0,-99.0,-99.0,13074.0,7.483,2418,1,-4.933,0.386,-69.0,5.0,128.0,111.0,0.0,0.0,11.0,-99.0,-99.0,14246.0,7.436,2418,1
1,3442,1107,282,48823.6634,300.0,2.1976,-4.859,0.463,-34.0,5.0,133.0,110.0,0.0,0.0,5.0,-99.0,-99.0,12862.0,7.739,2418,1,-3.645,1.447,-81.0,5.0,133.0,122.0,0.0,0.0,11.0,-99.0,-99.0,13955.0,7.813,2418,1
1,3442,1107,310,48824.6249,300.0,2.5303,-5.117,0.116,-108.0,5.0,91.0,102.0,0.0,0.0,5.0,-99.0,-99.0,11846.0,4.376,2418,1,-4.817,0.152,-108.0,5.0,86.0,125.0,0.0,0.0,11.0,-99.0,-99.0,11764.0,4.223,2418,1
1,3442,1107,312,48824.6344,300.0,2.4344,-4.594,0.163,-85.0,5.0,88.0,107.0,0.0,0.0,5.0,-99.0,-99.0,11783.0,4.061,2418,1,-4.201,0.223,-99.0,5.0,81.0,122.0,0.0,0.0,11.0,-99.0,-99.0,11847.0,3.811,2418,1
1,3442,1107,314,48824.6443,300.0,2.3414,-4.546,0.17,-87.0,5.0,96.0,101.0,0.0,0.0,5.0,-99.0,-99.0,11805.0,4.1,2418,1,-4.455,0.174,-91.0,5.0,93.0,115.0,0.0,0.0,11.0,-99.0,-99.0,11795.0,3.852,2418,1
1,3442,1107,341,48825.6498,300.0,2.2676,-4.984,0.102,-82.0,5.0,101.0,101.0,0.0,0.0,5.0,-99.0,-99.0,9961.0,4.072,2418,1,-4.541,0.132,-35.0,5.0,82.0,132.0,0.0,0.0,11.0,-99.0,-99.0,8773.0,3.839,2418,1
1,3442,1107,343,48825.6595,300.0,2.1823,-4.899,0.111,67.0,5.0,92.0,99.0,0.0,0.0,5.0,-99.0,-99.0,9642.0,4.356,2418,1,-4.7,0.115,40.0,5.0,89.0,105.0,0.0,0.0,11.0,-99.0,-99.0,8513.0,4.125,2418,1
1,3442,1107,345,48825.6695,300.0,2.1019,-4.832,0.112,42.0,5.0,101.0,100.0,0.0,0.0,5.0,-99.0,-99.0,9431.0,4.302,2418,1,-4.553,0.13,15.0,5.0,86.0,109.0,0.0,0.0,11.0,-99.0,-99.0,8456.0,4.079,2418,1
1,3442,1107,369,48826.6313,300.0,2.411,-4.979,0.178,-70.0,5.0,123.0,94.0,0.0,0.0,5.0,-99.0,-99.0,6763.0,6.019,2418,1,-5.345,0.129,-53.0,5.0,118.0,90.0,0.0,0.0,11.0,-99.0,-99.0,5085.0,6.24,2418,1
1,3442,1107,373,48826.658,300.0,2.1742,-5.09,0.142,-48.0,5.0,118.0,95.0,0.0,0.0,5.0,-99.0,-99.0,7593.0,5.628,2418,1,-5.045,0.143,-7.0,5.0,113.0,96.0,0.0,0.0,11.0,-99.0,-99.0,5897.0,5.827,2418,1
