fieldid,tileid,seqn,obsid,dateobs,exposure,airmass,rmag,rerr,rnormsky,rtype,rcrowd,rchi2,rmpix,rcosmicrf,ramp,rxpix,rypix,ravesky,rfwhm,rtobs,rcut,bmag,berr,bnormsky,btype,bcrowd,bchi2,bmpix,bcosmicrf,bamp,bxpix,bypix,bavesky,bfwhm,btobs,bcut
1,3442,233,278,48823.6441,300.0,2.3711,-6.289,0.114,-35.0,5.0,92.0,122.0,0.0,0.0,5.0,-99.0,-99.0,13812.0,7.825,2418,1,-6.574,0.097,0.0,1.0,93.0,124.0,0.0,0.0,11.0,-99.0,-99.0,14905.0,7.577,2418,1
1,3442,233,280,48823.6537,300.0,2.2826,-6.339,0.095,-43.0,5.0,92.0,101.0,0.0,0.0,5.0,-99.0,-99.0,13306.0,7.397,2418,1,-6.799,0.071,0.0,1.0,92.0,113.0,0.0,0.0,11.0,-99.0,-99.0,14477.0,7.446,2418,1
1,3442,233,282,48823.6634,300.0,2.1976,-6.503,0.094,-46.0,5.0,94.0,117.0,0.0,0.0,5.0,-99.0,-99.0,12926.0,7.91,2418,1,-6.679,0.089,-23.0,1.0,95.0,125.0,0.0,0.0,11.0,-99.0,-99.0,14302.0,7.71,2418,1
1,3442,233,310,48824.6249,300.0,2.5303,-5.434,0.085,-68.0,5.0,54.0,103.0,0.0,0.0,5.0,-99.0,-99.0,12022.0,4.394,2418,1,-5.787,0.065,-36.0,1.0,58.0,108.0,0.0,0.0,11.0,-99.0,-99.0,11956.0,4.298,2418,1
1,3442,233,312,48824.6344,300.0,2.4344,-5.36,0.079,-47.0,5.0,56.0,106.0,0.0,0.0,5.0,-99.0,-99.0,11909.0,4.1,2418,1,-5.601,0.064,-33.0,1.0,57.0,119.0,0.0,0.0,11.0,-99.0,-99.0,12090.0,3.824,2418,1
1,3442,233,314,48824.6443,300.0,2.3414,-5.504,0.069,-52.0,1.0,62.0,108.0,0.0,0.0,5.0,-99.0,-99.0,11957.0,4.143,2418,1,-5.658,0.059,-17.0,1.0,64.0,114.0,0.0,0.0,11.0,-99.0,-99.0,12006.0,3.918,2418,1
1,3442,233,341,48825.6498,300.0,2.2676,-6.387,0.027,-26.0,1.0,54.0,107.0,0.0,0.0,5.0,-99.0,-99.0,10042.0,4.126,2418,1,-6.76,0.018,0.0,1.0,59.0,109.0,0.0,0.0,11.0,-99.0,-99.0,8875.0,3.878,2418,1
1,3442,233,343,48825.6595,300.0,2.1823,-6.314,0.03,17.0,1.0,64.0,99.0,0.0,0.0,5.0,-99.0,-99.0,9752.0,4.381,2418,1,-6.777,0.019,8.0,1.0,54.0,117.0,0.0,0.0,11.0,-99.0,-99.0,8678.0,4.13,2418,1
1,3442,233,345,48825.6695,300.0,2.1019,-6.333,0.029,0.0,1.0,60.0,107.0,0.0,0.0,5.0,-99.0,-99.0,9540.0,4.331,2418,1,-6.721,0.02,32.0,1.0,59.0,118.0,53.0,35.0,11.0,-99.0,-99.0,8586.0,4.129,2418,1
1,3442,233,369,48826.6313,300.0,2.411,-6.3,0.05,-25.0,1.0,86.0,107.0,0.0,0.0,5.0,-99.0,-99.0,6813.0,6.061,2418,1,-6.782,0.036,0.0,1.0,86.0,84.0,0.0,0.0,11.0,-99.0,-99.0,5109.0,6.334,2418,1
1,3442,233,373,48826.658,300.0,2.1742,-6.412,0.04,-20.0,1.0,84.0,103.0,0.0,0.0,5.0,-99.0,-99.0,7696.0,5.614,2418,1,-6.771,0.031,0.0,1.0,86.0,105.0,0.0,0.0,11.0,-99.0,-99.0,5989.0,5.837,2418,1
1,3442,233,406,48828.7526,300.0,1.562,-6.084,0.041,-24.0,1.0,74.0,96.0,0.0,0.0,5.0,-99.0,-99.0,6856.0,5.174,2418,1,-6.541,0.028,0.0,1.0,82.0,95.0,0.0,0.0,11.0,-99.0,-99.0,4980.0,5.135,2418,1
1,3442,233,420,48828.8234,300.0,1.3337,-6.234,0.038,-49.0,1.0,78.0,94.0,0.0,0.0,5.0,-99.0,-99.0,7433.0,5.276,2418,1,-6.626,0.024,0.0,1.0,76.0,98.0,101.0,0.0,11.0,-99.0,-99.0,4732.0,5.114,2418,1
1,3442,233,423,48829.623,300.0,2.4129,-5.732,0.037,-71.0,1.0,60.0,101.0,0.0,0.0,5.0,-99.0,-99.0,7311.0,3.688,2418,1,-6.088,0.027,-36.0,1.0,51.0,98.0,0.0,0.0,11.0,-99.0,-99.0,5427.0,3.731,2418,1
1,3442,233,443,48829.7514,300.0,1.5562,-6.26,0.085,-46.0,1.0,54.0,126.0,0.0,0.0,5.0,-99.0,-99.0,10189.0,3.825,2418,1,-6.688,0.048,0.0,1.0,44.0,122.0,0.0,0.0,11.0,-99.0,-99.0,8231.0,3.632,2418,1
