fieldid,tileid,seqn,obsid,dateobs,exposure,airmass,rmag,rerr,rnormsky,rtype,rcrowd,rchi2,rmpix,rcosmicrf,ramp,rxpix,rypix,ravesky,rfwhm,rtobs,rcut,bmag,berr,bnormsky,btype,bcrowd,bchi2,bmpix,bcosmicrf,bamp,bxpix,bypix,bavesky,bfwhm,btobs,bcut
1,3441,15,278,48823.6441,300.0,2.3711,-9.702,0.009,0.0,1.0,59.0,107.0,0.0,0.0,5.0,-99.0,-99.0,13680.0,7.657,2418,1,-9.332,0.012,0.0,1.0,48.0,131.0,0.0,0.0,11.0,-99.0,-99.0,14578.0,7.691,2418,1
1,3441,15,280,48823.6537,300.0,2.2826,-9.731,0.008,0.0,1.0,48.0,87.0,0.0,0.0,5.0,-99.0,-99.0,13074.0,7.483,2418,1,-9.396,0.01,0.0,1.0,48.0,121.0,0.0,0.0,11.0,-99.0,-99.0,14246.0,7.436,2418,1
1,3441,15,282,48823.6634,300.0,2.1976,-9.691,0.011,0.0,1.0,56.0,98.0,0.0,0.0,5.0,-99.0,-99.0,12862.0,7.739,2418,1,-9.358,0.011,0.0,1.0,48.0,111.0,0.0,0.0,11.0,-99.0,-99.0,13955.0,7.813,2418,1
1,3441,15,310,48824.6249,300.0,2.5303,-9.677,0.003,0.0,1.0,0.0,160.0,0.0,0.0,5.0,-99.0,-99.0,11846.0,4.376,2418,1,-9.333,0.003,0.0,1.0,0.0,183.0,0.0,0.0,11.0,-99.0,-99.0,11764.0,4.223,2418,1
1,3441,15,312,48824.6344,300.0,2.4344,-9.693,0.002,0.0,1.0,0.0,168.0,0.0,0.0,5.0,-99.0,-99.0,11783.0,4.061,2418,1,-9.333,0.003,0.0,1.0,0.0,205.0,29.0,1.0,11.0,-99.0,-99.0,11847.0,3.811,2418,1
1,3441,15,314,48824.6443,300.0,2.3414,-9.682,0.003,0.0,1.0,1.0,183.0,0.0,0.0,5.0,-99.0,-99.0,11805.0,4.1,2418,1,-9.349,0.003,0.0,1.0,0.0,155.0,0.0,0.0,11.0,-99.0,-99.0,11795.0,3.852,2418,1
1,3441,15,341,48825.6498,300.0,2.2676,-9.835,0.002,0.0,1.0,0.0,171.0,0.0,0.0,5.0,-99.0,-99.0,9961.0,4.072,2418,1,-9.588,0.002,0.0,1.0,0.0,154.0,0.0,0.0,11.0,-99.0,-99.0,8773.0,3.839,2418,1
1,3441,15,343,48825.6595,300.0,2.1823,-9.851,0.002,0.0,1.0,0.0,173.0,0.0,0.0,5.0,-99.0,-99.0,9642.0,4.356,2418,1,-9.592,0.002,0.0,1.0,0.0,162.0,0.0,0.0,11.0,-99.0,-99.0,8513.0,4.125,2418,1
1,3441,15,345,48825.6695,300.0,2.1019,-9.845,0.002,0.0,1.0,0.0,169.0,0.0,0.0,5.0,-99.0,-99.0,9431.0,4.302,2418,1,-9.581,0.002,0.0,1.0,0.0,156.0,0.0,0.0,11.0,-99.0,-99.0,8456.0,4.079,2418,1
1,3441,15,369,48826.6313,300.0,2.411,-10.058,0.003,0.0,1.0,28.0,140.0,0.0,0.0,5.0,-99.0,-99.0,6763.0,6.019,2418,1,-9.908,0.003,0.0,1.0,25.0,157.0,0.0,0.0,11.0,-99.0,-99.0,5085.0,6.24,2418,1
1,3441,15,373,48826.658,300.0,2.1742,-10.079,0.003,0.0,1.0,32.0,145.0,0.0,0.0,5.0,-99.0,-99.0,7593.0,5.628,2418,1,-9.921,0.003,0.0,1.0,18.0,161.0,0.0,0.0,11.0,-99.0,-99.0,5897.0,5.827,2418,1
1,3441,15,406,48828.7526,300.0,1.562,-10.319,0.002,0.0,1.0,25.0,151.0,0.0,0.0,5.0,-99.0,-99.0,6842.0,5.135,2418,1,-10.257,0.002,0.0,1.0,19.0,129.0,0.0,0.0,11.0,-99.0,-99.0,4912.0,5.139,2418,1
