fieldid,tileid,seqn,obsid,dateobs,exposure,airmass,rmag,rerr,rnormsky,rtype,rcrowd,rchi2,rmpix,rcosmicrf,ramp,rxpix,rypix,ravesky,rfwhm,rtobs,rcut,bmag,berr,bnormsky,btype,bcrowd,bchi2,bmpix,bcosmicrf,bamp,bxpix,bypix,bavesky,bfwhm,btobs,bcut
1,3442,1388,278,48823.6441,300.0,2.3711,-5.334,0.582,-1.0,5.0,189.0,65.0,0.0,0.0,5.0,-99.0,-99.0,13812.0,7.825,2418,1,-4.637,0.668,0.0,5.0,159.0,115.0,0.0,0.0,11.0,-99.0,-99.0,14905.0,7.577,2418,1
1,3442,1388,280,48823.6537,300.0,2.2826,-5.225,0.533,-16.0,5.0,182.0,79.0,0.0,0.0,5.0,-99.0,-99.0,13306.0,7.397,2418,1,-5.881,0.202,-102.0,5.0,161.0,105.0,157.0,0.0,11.0,-99.0,-99.0,14477.0,7.446,2418,1
1,3442,1388,282,48823.6634,300.0,2.1976,-5.356,0.576,55.0,5.0,188.0,71.0,0.0,0.0,5.0,-99.0,-99.0,12926.0,7.91,2418,1,-4.231,0.926,-43.0,5.0,156.0,110.0,0.0,0.0,11.0,-99.0,-99.0,14302.0,7.71,2418,1
1,3442,1388,310,48824.6249,300.0,2.5303,-5.722,0.082,-74.0,1.0,127.0,94.0,0.0,0.0,5.0,-99.0,-99.0,12022.0,4.394,2418,1,-5.549,0.083,-85.0,1.0,116.0,109.0,0.0,0.0,11.0,-99.0,-99.0,11956.0,4.298,2418,1
1,3442,1388,312,48824.6344,300.0,2.4344,-5.535,0.085,39.0,1.0,121.0,82.0,0.0,0.0,5.0,-99.0,-99.0,11909.0,4.1,2418,1,-5.2,0.094,-95.0,1.0,103.0,110.0,0.0,0.0,11.0,-99.0,-99.0,12090.0,3.824,2418,1
1,3442,1388,314,48824.6443,300.0,2.3414,-5.569,0.085,-43.0,1.0,125.0,94.0,0.0,0.0,5.0,-99.0,-99.0,11957.0,4.143,2418,1,-5.18,0.095,-66.0,1.0,104.0,103.0,0.0,0.0,11.0,-99.0,-99.0,12006.0,3.918,2418,1
1,3442,1388,341,48825.6498,300.0,2.2676,-4.787,0.159,54.0,5.0,123.0,76.0,104.0,0.0,5.0,-99.0,-99.0,10042.0,4.126,2418,1,-4.254,0.184,-42.0,5.0,105.0,103.0,0.0,0.0,11.0,-99.0,-99.0,8875.0,3.878,2418,1
1,3442,1388,343,48825.6595,300.0,2.1823,-4.488,0.214,112.0,5.0,135.0,88.0,0.0,0.0,5.0,-99.0,-99.0,9752.0,4.381,2418,1,-4.265,0.184,98.0,5.0,104.0,107.0,0.0,0.0,11.0,-99.0,-99.0,8678.0,4.13,2418,1
1,3442,1388,345,48825.6695,300.0,2.1019,-5.013,0.136,85.0,5.0,132.0,78.0,0.0,0.0,5.0,-99.0,-99.0,9540.0,4.331,2418,1,-4.45,0.156,88.0,5.0,110.0,97.0,0.0,0.0,11.0,-99.0,-99.0,8586.0,4.129,2418,1
1,3442,1388,369,48826.6313,300.0,2.411,-4.834,0.437,-21.0,5.0,255.0,53.0,181.0,0.0,5.0,-99.0,-99.0,6813.0,6.061,2418,1,-4.396,0.36,15.0,5.0,144.0,71.0,0.0,0.0,11.0,-99.0,-99.0,5109.0,6.334,2418,1
