fieldid,tileid,seqn,obsid,dateobs,exposure,airmass,rmag,rerr,rnormsky,rtype,rcrowd,rchi2,rmpix,rcosmicrf,ramp,rxpix,rypix,ravesky,rfwhm,rtobs,rcut,bmag,berr,bnormsky,btype,bcrowd,bchi2,bmpix,bcosmicrf,bamp,bxpix,bypix,bavesky,bfwhm,btobs,bcut
1,3442,1051,278,48823.6441,300.0,2.3711,-5.402,0.266,0.0,6.0,134.0,108.0,0.0,0.0,5.0,-99.0,-99.0,13680.0,7.657,2418,1,-5.157,0.331,-95.0,6.0,121.0,127.0,151.0,0.0,11.0,-99.0,-99.0,14578.0,7.691,2418,1
1,3442,1051,280,48823.6537,300.0,2.2826,-4.951,0.346,0.0,6.0,131.0,113.0,114.0,0.0,5.0,-99.0,-99.0,13074.0,7.483,2418,1,-4.97,0.338,-78.0,6.0,120.0,124.0,0.0,0.0,11.0,-99.0,-99.0,14246.0,7.436,2418,1
1,3442,1051,282,48823.6634,300.0,2.1976,-4.515,0.593,52.0,6.0,134.0,111.0,0.0,0.0,5.0,-99.0,-99.0,12862.0,7.739,2418,1,-5.638,0.207,-110.0,6.0,119.0,129.0,0.0,0.0,11.0,-99.0,-99.0,13955.0,7.813,2418,1
1,3442,1051,310,48824.6249,300.0,2.5303,-5.541,0.095,-92.0,6.0,123.0,115.0,0.0,0.0,5.0,-99.0,-99.0,11846.0,4.376,2418,1,-5.554,0.096,-110.0,6.0,255.0,120.0,196.0,0.0,11.0,-99.0,-99.0,11764.0,4.223,2418,1
1,3442,1051,312,48824.6344,300.0,2.4344,-5.284,0.105,-13.0,2.0,120.0,107.0,0.0,0.0,5.0,-99.0,-99.0,11783.0,4.061,2418,1,-5.273,0.093,-98.0,6.0,113.0,114.0,167.0,0.0,11.0,-99.0,-99.0,11847.0,3.811,2418,1
1,3442,1051,314,48824.6443,300.0,2.3414,-5.313,0.104,-53.0,2.0,120.0,109.0,0.0,0.0,5.0,-99.0,-99.0,11805.0,4.1,2418,1,-5.382,0.082,-78.0,2.0,113.0,120.0,0.0,0.0,11.0,-99.0,-99.0,11795.0,3.852,2418,1
1,3442,1051,341,48825.6498,300.0,2.2676,-4.798,0.147,20.0,6.0,120.0,100.0,0.0,0.0,5.0,-99.0,-99.0,9961.0,4.072,2418,1,-4.659,0.132,-10.0,6.0,112.0,109.0,0.0,0.0,11.0,-99.0,-99.0,8773.0,3.839,2418,1
1,3442,1051,343,48825.6595,300.0,2.1823,-4.907,0.133,91.0,2.0,120.0,107.0,0.0,0.0,5.0,-99.0,-99.0,9642.0,4.356,2418,1,-4.645,0.129,74.0,6.0,104.0,117.0,0.0,0.0,11.0,-99.0,-99.0,8513.0,4.125,2418,1
1,3442,1051,345,48825.6695,300.0,2.1019,-4.814,0.14,75.0,6.0,120.0,105.0,0.0,0.0,5.0,-99.0,-99.0,9431.0,4.302,2418,1,-4.924,0.097,51.0,2.0,105.0,110.0,0.0,0.0,11.0,-99.0,-99.0,8456.0,4.079,2418,1
1,3442,1051,369,48826.6313,300.0,2.411,-5.505,0.111,-44.0,6.0,128.0,104.0,0.0,0.0,5.0,-99.0,-99.0,6763.0,6.019,2418,1,-4.959,0.162,15.0,6.0,121.0,114.0,0.0,0.0,11.0,-99.0,-99.0,5085.0,6.24,2418,1
1,3442,1051,373,48826.658,300.0,2.1742,-4.958,0.152,42.0,6.0,120.0,99.0,0.0,0.0,5.0,-99.0,-99.0,7593.0,5.628,2418,1,-4.929,0.144,28.0,6.0,117.0,107.0,0.0,0.0,11.0,-99.0,-99.0,5897.0,5.827,2418,1
1,3442,1051,406,48828.7526,300.0,1.562,-4.841,0.149,12.0,6.0,127.0,94.0,0.0,0.0,5.0,-99.0,-99.0,6842.0,5.135,2418,1,-4.729,0.132,-34.0,6.0,119.0,91.0,0.0,0.0,11.0,-99.0,-99.0,4912.0,5.139,2418,1
1,3442,1051,420,48828.8234,300.0,1.3337,-5.351,0.097,-65.0,6.0,122.0,94.0,0.0,0.0,5.0,-99.0,-99.0,7271.0,5.283,2418,1,-5.391,0.068,-31.0,6.0,117.0,98.0,46.0,26.0,11.0,-99.0,-99.0,4669.0,5.123,2418,1
1,3442,1051,423,48829.623,300.0,2.4129,-5.165,0.082,-98.0,6.0,115.0,108.0,0.0,0.0,5.0,-99.0,-99.0,7254.0,3.692,2418,1,-4.985,0.081,-90.0,6.0,105.0,107.0,0.0,0.0,11.0,-99.0,-99.0,5403.0,3.711,2418,1
1,3442,1051,443,48829.7514,300.0,1.5562,-4.474,0.473,105.0,6.0,125.0,115.0,0.0,0.0,5.0,-99.0,-99.0,10106.0,3.811,2418,1,-5.148,0.198,-85.0,6.0,105.0,118.0,0.0,0.0,11.0,-99.0,-99.0,8086.0,3.612,2418,1
1,3442,1051,450,48829.8266,300.0,1.3232,-5.28,0.127,-94.0,6.0,125.0,113.0,100.0,98.0,5.0,-99.0,-99.0,10814.0,5.419,2418,1,-4.648,0.148,-69.0,6.0,120.0,103.0,0.0,0.0,11.0,-99.0,-99.0,5071.0,5.328,2418,1
1,3442,1051,452,48831.6285,300.0,2.3099,-4.24,1.001,-118.0,6.0,136.0,101.0,0.0,0.0,5.0,-99.0,-99.0,6300.0,9.172,2418,1,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,5537.0,9.622,2418,0
1,3442,1051,472,48831.7314,300.0,1.6204,-4.736,0.21,-78.0,6.0,130.0,93.0,0.0,0.0,5.0,-99.0,-99.0,5387.0,6.028,2418,1,-4.592,0.203,-70.0,6.0,123.0,99.0,0.0,0.0,11.0,-99.0,-99.0,4799.0,6.091,2418,1
