fieldid,tileid,seqn,obsid,dateobs,exposure,airmass,rmag,rerr,rnormsky,rtype,rcrowd,rchi2,rmpix,rcosmicrf,ramp,rxpix,rypix,ravesky,rfwhm,rtobs,rcut,bmag,berr,bnormsky,btype,bcrowd,bchi2,bmpix,bcosmicrf,bamp,bxpix,bypix,bavesky,bfwhm,btobs,bcut
1,3441,25,278,48823.6441,300.0,2.3711,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,13680.0,7.657,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,14578.0,7.691,2418,0
1,3441,25,280,48823.6537,300.0,2.2826,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,13074.0,7.483,2418,0,-7.456,9.999,0.0,47.0,0.0,122.0,0.0,0.0,11.0,-99.0,-99.0,14246.0,7.436,2418,1
1,3441,25,282,48823.6634,300.0,2.1976,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,12862.0,7.739,2418,0,-8.046,0.035,5.0,41.0,69.0,132.0,189.0,0.0,11.0,-99.0,-99.0,13955.0,7.813,2418,1
1,3441,25,310,48824.6249,300.0,2.5303,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,11846.0,4.376,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,11764.0,4.223,2418,0
1,3441,25,312,48824.6344,300.0,2.4344,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,11783.0,4.061,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,11847.0,3.811,2418,0
1,3441,25,314,48824.6443,300.0,2.3414,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,11805.0,4.1,2418,0,-7.458,9.999,0.0,47.0,0.0,99.0,0.0,0.0,11.0,-99.0,-99.0,11795.0,3.852,2418,1
1,3441,25,341,48825.6498,300.0,2.2676,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,9961.0,4.072,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,8773.0,3.839,2418,0
1,3441,25,343,48825.6595,300.0,2.1823,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,9642.0,4.356,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,8513.0,4.125,2418,0
1,3441,25,345,48825.6695,300.0,2.1019,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,9431.0,4.302,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,8456.0,4.079,2418,0
1,3441,25,369,48826.6313,300.0,2.411,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,6763.0,6.019,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,5085.0,6.24,2418,0
1,3441,25,373,48826.658,300.0,2.1742,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,7593.0,5.628,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,5897.0,5.827,2418,0
1,3441,25,406,48828.7526,300.0,1.562,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,6842.0,5.135,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,4912.0,5.139,2418,0
1,3441,25,420,48828.8234,300.0,1.3337,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,7271.0,5.283,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,4669.0,5.123,2418,0
1,3441,25,423,48829.623,300.0,2.4129,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,7254.0,3.692,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,5403.0,3.711,2418,0
1,3441,25,443,48829.7514,300.0,1.5562,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,10106.0,3.811,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,8086.0,3.612,2418,0
1,3441,25,450,48829.8266,300.0,1.3232,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,10814.0,5.419,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,5071.0,5.328,2418,0
1,3441,25,452,48831.6285,300.0,2.3099,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,5.0,-99.0,-99.0,6300.0,9.172,2418,0,-99.0,-99.0,999.0,999.0,999.0,999.0,999.0,999.0,11.0,-99.0,-99.0,5537.0,9.622,2418,0
