fieldid,tileid,seqn,obsid,dateobs,exposure,airmass,rmag,rerr,rnormsky,rtype,rcrowd,rchi2,rmpix,rcosmicrf,ramp,rxpix,rypix,ravesky,rfwhm,rtobs,rcut,bmag,berr,bnormsky,btype,bcrowd,bchi2,bmpix,bcosmicrf,bamp,bxpix,bypix,bavesky,bfwhm,btobs,bcut
1,3442,172,278,48823.6441,300.0,2.3711,-6.807,0.158,0.0,4.0,136.0,65.0,0.0,0.0,5.0,-99.0,-99.0,13812.0,7.825,2418,1,-7.243,0.077,-19.0,2.0,111.0,97.0,0.0,0.0,11.0,-99.0,-99.0,14905.0,7.577,2418,1
1,3442,172,280,48823.6537,300.0,2.2826,-6.632,0.155,0.0,2.0,130.0,65.0,0.0,0.0,5.0,-99.0,-99.0,13306.0,7.397,2418,1,-7.111,0.082,0.0,2.0,112.0,99.0,0.0,0.0,11.0,-99.0,-99.0,14477.0,7.446,2418,1
1,3442,172,282,48823.6634,300.0,2.1976,-6.634,0.183,0.0,4.0,135.0,62.0,0.0,0.0,5.0,-99.0,-99.0,12926.0,7.91,2418,1,-7.023,0.097,0.0,2.0,114.0,96.0,140.0,0.0,11.0,-99.0,-99.0,14302.0,7.71,2418,1
1,3442,172,310,48824.6249,300.0,2.5303,-6.577,0.049,0.0,2.0,102.0,88.0,0.0,0.0,5.0,-99.0,-99.0,12022.0,4.394,2418,1,-7.046,0.026,0.0,2.0,71.0,112.0,0.0,0.0,11.0,-99.0,-99.0,11956.0,4.298,2418,1
1,3442,172,312,48824.6344,300.0,2.4344,-6.604,0.043,0.0,2.0,92.0,87.0,0.0,0.0,5.0,-99.0,-99.0,11909.0,4.1,2418,1,-7.051,0.022,0.0,2.0,70.0,111.0,0.0,0.0,11.0,-99.0,-99.0,12090.0,3.824,2418,1
1,3442,172,314,48824.6443,300.0,2.3414,-6.602,0.042,0.0,2.0,94.0,85.0,0.0,0.0,5.0,-99.0,-99.0,11957.0,4.143,2418,1,-7.056,0.021,0.0,2.0,74.0,101.0,0.0,0.0,11.0,-99.0,-99.0,12006.0,3.918,2418,1
1,3442,172,341,48825.6498,300.0,2.2676,-6.575,0.041,11.0,2.0,98.0,79.0,0.0,0.0,5.0,-99.0,-99.0,10042.0,4.126,2418,1,-7.005,0.02,6.0,2.0,73.0,101.0,0.0,0.0,11.0,-99.0,-99.0,8875.0,3.878,2418,1
1,3442,172,343,48825.6595,300.0,2.1823,-6.621,0.046,41.0,2.0,101.0,78.0,0.0,0.0,5.0,-99.0,-99.0,9752.0,4.381,2418,1,-7.042,0.022,29.0,2.0,75.0,102.0,0.0,0.0,11.0,-99.0,-99.0,8678.0,4.13,2418,1
1,3442,172,345,48825.6695,300.0,2.1019,-6.592,0.047,33.0,2.0,101.0,57.0,0.0,0.0,5.0,-99.0,-99.0,9540.0,4.331,2418,1,-7.034,0.022,28.0,2.0,71.0,93.0,0.0,0.0,11.0,-99.0,-99.0,8586.0,4.129,2418,1
1,3442,172,369,48826.6313,300.0,2.411,-6.527,0.098,0.0,2.0,116.0,48.0,0.0,0.0,5.0,-99.0,-99.0,6813.0,6.061,2418,1,-6.92,0.055,5.0,2.0,98.0,56.0,0.0,0.0,11.0,-99.0,-99.0,5109.0,6.334,2418,1
1,3442,172,373,48826.658,300.0,2.1742,-6.589,0.077,8.0,2.0,112.0,51.0,0.0,0.0,5.0,-99.0,-99.0,7696.0,5.614,2418,1,-6.945,0.044,15.0,2.0,94.0,67.0,0.0,0.0,11.0,-99.0,-99.0,5989.0,5.837,2418,1
1,3442,172,406,48828.7526,300.0,1.562,-6.587,0.059,6.0,2.0,105.0,49.0,0.0,0.0,5.0,-99.0,-99.0,6856.0,5.174,2418,1,-7.079,0.026,0.0,2.0,84.0,78.0,0.0,0.0,11.0,-99.0,-99.0,4980.0,5.135,2418,1
