starid,rarad,decrad,field,tile,seqn,period_reqb,period_r,period_b,magave_r,magave_b,magave_bminusr,magave_kv,magave_kr,magave_kvminuskr,amp_r,amp_b,amp_bminusr,amp_reqb,suprsa_r,suprsa_b,chi2r_r,chi2r_b,sig_r,sig_b,varindex,classification,points_total,points_concurrent,points_r,points_b
36288094,1.28919,-1.21156,17,2473,17,0.0,2.599753,2.599749,-8.994,-9.437,-0.442,14.962,15.145,-0.182,0.17,0.159,-11.0,6.07,0.62,0.72,0.91,0.91,0.035,0.035,0.704,10,386,355,361,375
36288056,1.29113,-1.21137,17,2473,43,0.0,1.12619,1.126193,-7.729,-8.151,-0.421,16.244,16.406,-0.161,0.194,0.222,28.0,14.18,0.91,0.81,5.15,5.19,0.053,0.053,0.726,10,386,321,326,360
36287925,1.28924,-1.21134,17,2473,168,0.0,0.765536,0.765538,-6.14,-6.497,-0.357,17.887,17.984,-0.096,0.18,0.169,-11.0,6.49,0.73,0.69,1.73,2.01,0.055,0.062,0.131,10,386,346,352,376
36287928,1.29024,-1.2111,17,2473,171,0.0,1.201704,1.201721,-6.142,-6.504,-0.361,17.881,17.983,-0.101,0.19,0.105,-85.0,44.81,1.01,0.8,2.38,2.9,0.06,0.05,0.172,10,386,198,200,354
36287613,1.28899,-1.21154,17,2473,496,0.0,0.789771,0.789767,-5.209,-5.058,0.15,19.234,18.823,0.411,0.591,0.801,210.0,35.43,0.74,0.7,5.05,6.37,0.176,0.302,0.206,1,386,350,361,371
36285769,1.29412,-1.22352,17,2583,124,0.0,0.567993,0.567989,-4.747,-4.745,0.001,19.574,19.312,0.262,0.601,0.754,153.0,25.39,1.0,1.06,5.51,8.6,0.193,0.306,0.271,1,317,291,301,299
36285258,1.29403,-1.22335,17,2584,235,0.62,73.816317,74.281256,-8.841,-7.598,1.242,16.498,14.995,1.503,0.245,0.281,36.0,14.85,3.85,4.22,23.09,27.65,0.09,0.115,1.844,7,388,362,378,366
36285173,1.29315,-1.22272,17,2584,278,0.02,36.104398,36.114595,-7.111,-6.474,0.636,17.731,16.834,0.897,0.091,0.102,11.0,12.15,0.58,0.91,1.97,2.33,0.035,0.048,0.218,10,388,374,385,376
36285095,1.29317,-1.22227,17,2584,392,0.0,0.908218,0.908259,-5.777,-6.213,-0.435,18.185,18.361,-0.175,0.173,0.125,-48.0,27.38,0.95,0.88,1.68,1.79,0.086,0.054,0.125,10,388,376,385,378
36284788,1.2938,-1.22269,17,2584,661,0.0,0.378313,0.378311,-5.051,-5.121,-0.07,19.211,19.021,0.189,0.262,0.493,231.0,88.37,0.9,1.14,4.74,11.29,0.14,0.193,0.227,2,388,372,384,374
36284750,1.29436,-1.22257,17,2584,751,0.0,0.517936,0.517924,-4.848,-5.007,-0.158,19.341,19.24,0.101,0.452,0.73,278.0,61.57,1.13,1.35,3.24,6.33,0.19,0.23,0.271,1,388,326,374,329
36283042,1.29408,-1.22113,17,2585,261,0.0,2.262321,2.262354,-7.585,-7.496,0.088,16.807,16.458,0.349,0.434,0.61,176.0,40.65,0.57,0.69,39.24,73.55,0.137,0.212,2.533,4,299,290,296,290
36282795,1.29397,-1.22111,17,2585,526,0.0,0.578589,0.578585,-5.543,-5.436,0.107,18.864,18.497,0.367,0.281,0.453,172.0,60.73,0.89,0.87,5.82,9.49,0.095,0.148,0.315,1,299,291,297,291
36299407,1.29041,-1.21596,17,2469,738,0.0,0.338225,0.338226,-4.72,-4.656,0.064,19.652,19.328,0.324,0.364,0.384,20.0,5.43,0.79,0.75,2.63,4.07,0.19,0.205,0.136,2,386,344,355,361
36299430,1.29047,-1.21603,17,2469,761,0.0,0.600778,0.600773,-4.891,-4.803,0.088,19.501,19.153,0.348,0.5,0.635,135.0,26.96,0.77,0.75,3.65,5.97,0.189,0.246,0.178,1,386,346,360,364
36299248,1.29152,-1.21593,17,2469,899,0.0,0.465336,0.465336,-4.523,-4.402,0.12,19.896,19.515,0.381,1.001,1.312,311.0,31.08,1.02,1.13,10.15,17.77,0.363,0.518,0.5,1,386,360,364,365
36299171,1.29093,-1.21554,17,2469,1014,0.0,0.253155,0.253154,-4.019,-4.43,-0.41,19.963,20.113,-0.149,0.773,0.65,-123.0,15.8,0.85,0.7,4.03,7.26,0.33,0.294,0.132,10,386,349,353,356
36297350,1.28908,-1.21468,17,2470,13,0.03,81.240416,81.265669,-8.467,-7.021,1.446,17.038,15.332,1.705,0.304,0.666,362.0,118.69,5.97,5.94,54.73,70.53,0.165,0.238,2.477,7,387,371,378,374
36280876,1.29351,-1.22085,17,2586,236,0.05,41.458741,41.436577,-8.42,-7.401,1.019,16.735,15.456,1.279,0.098,0.168,70.0,71.47,1.25,1.99,2.46,4.91,0.032,0.056,0.665,7,299,279,285,280
36302656,1.28883,-1.21713,17,2468,17,0.35,108.74943,108.363721,-8.404,-7.256,1.147,16.857,15.449,1.408,0.472,0.66,188.0,39.93,5.17,5.94,57.65,80.84,0.146,0.2,2.243,8,386,323,341,340
36302158,1.29083,-1.21712,17,2468,543,0.0,0.34576,0.345757,-4.865,-4.941,-0.075,19.392,19.208,0.184,0.292,0.49,198.0,67.92,0.84,0.89,3.8,5.88,0.151,0.194,0.168,2,386,326,338,346
36300638,1.29,-1.21746,17,2468,2031,0.0,0.953072,0.953053,-8.55,-9.127,-0.577,15.296,15.613,-0.316,0.105,0.099,-6.0,5.5,0.76,0.66,2.43,2.4,0.032,0.03,0.752,10,386,154,156,245
36300599,1.29063,-1.21755,17,2468,2056,0.0,0.740537,0.740525,-6.131,-6.443,-0.311,17.933,17.985,-0.051,0.38,0.308,-72.0,18.75,0.97,1.12,1.02,2.41,0.094,0.085,0.119,10,386,342,351,352
36300568,1.2913,-1.2175,17,2468,2089,0.0,2.162,2.162,-5.353,-5.881,-0.528,18.534,18.802,-0.268,0.15,0.141,-9.0,5.8,0.79,0.64,1.45,2.2,0.085,0.051,0.122,10,386,262,269,331
36299901,1.2896,-1.21535,17,2469,272,0.0,0.318259,0.318261,-5.772,-5.53,0.242,18.746,18.244,0.502,0.14,0.234,94.0,66.68,0.8,0.8,2.61,5.43,0.074,0.104,0.184,10,386,374,385,374
36315601,1.28745,-1.21109,17,2352,18,0.34,87.539101,87.233699,-8.782,-7.29,1.492,16.761,15.009,1.752,0.381,0.538,157.0,40.97,3.99,5.17,32.06,52.21,0.117,0.181,2.094,7,386,287,292,358
36315628,1.28626,-1.21132,17,2352,45,0.0,0.612,0.611998,-7.491,-7.944,-0.453,16.457,16.65,-0.192,0.143,0.131,-12.0,8.45,0.8,0.69,1.6,1.78,0.035,0.034,0.381,10,386,343,353,373
